gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,entrez_gene,gs_cat,gs_subcat
GNAI3,2773,ENSG00000065135,GNAI3,2773,ENSG00000065135,GNAI3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,2773,H,
GNB2,2783,ENSG00000172354,GNB2,2783,ENSG00000172354,GNB2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,2783,H,
GNB4,59345,ENSG00000114450,GNB4,59345,ENSG00000114450,GNB4,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,59345,H,
GNG2,54331,ENSG00000186469,GNG2,54331,ENSG00000186469,GNG2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,54331,H,
GNGT2,2793,ENSG00000167083,GNGT2,2793,ENSG00000167083,GNGT2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,2793,H,
GP1BA,2811,ENSG00000185245,GP1BA,2811,ENSG00000185245,GP1BA,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,2811,H,
GP9,2815,ENSG00000169704,GP9,2815,ENSG00000169704,GP9,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,2815,H,
GPD2,2820,ENSG00000115159,GPD2,2820,ENSG00000115159,GPD2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,2820,H,
GRB2,2885,ENSG00000177885,GRB2,2885,ENSG00000177885,GRB2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,2885,H,
GZMA,3001,ENSG00000145649,GZMA,3001,ENSG00000145649,GZMA,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3001,H,
GZMB,3002,ENSG00000100453,GZMB,3002,ENSG00000100453,GZMB,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3002,H,
GZMK,3003,ENSG00000113088,GZMK,3003,ENSG00000113088,GZMK,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3003,H,
HNF4A,3172,ENSG00000101076,HNF4A,3172,ENSG00000101076,HNF4A,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3172,H,
HPCAL4,51440,ENSG00000116983,HPCAL4,51440,ENSG00000116983,HPCAL4,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,51440,H,
HSPA1A,3303,ENSG00000204389,HSPA1A,3303,ENSG00000204389,HSPA1A,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3303,H,
HSPA5,3309,ENSG00000044574,HSPA5,3309,ENSG00000044574,HSPA5,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3309,H,
IL6,3569,ENSG00000136244,IL6,3569,ENSG00000136244,IL6,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3569,H,
IRF1,3659,ENSG00000125347,IRF1,3659,ENSG00000125347,IRF1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3659,H,
IRF2,3660,ENSG00000168310,IRF2,3660,ENSG00000168310,IRF2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3660,H,
IRF7,3665,ENSG00000185507,IRF7,3665,ENSG00000185507,IRF7,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3665,H,
ITGAM,3684,ENSG00000169896,ITGAM,3684,ENSG00000169896,ITGAM,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3684,H,
ITIH1,3697,ENSG00000055957,ITIH1,3697,ENSG00000055957,ITIH1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3697,H,
JAK2,3717,ENSG00000096968,JAK2,3717,ENSG00000096968,JAK2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3717,H,
KCNIP2,30819,ENSG00000120049,KCNIP2,30819,ENSG00000120049,KCNIP2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,30819,H,
KCNIP3,30818,ENSG00000115041,KCNIP3,30818,ENSG00000115041,KCNIP3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,30818,H,
KIF2A,3796,ENSG00000068796,KIF2A,3796,ENSG00000068796,KIF2A,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3796,H,
KLK1,3816,ENSG00000167748,KLK1,3816,ENSG00000167748,KLK1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3816,H,
KLKB1,3818,ENSG00000164344,KLKB1,3818,ENSG00000164344,KLKB1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3818,H,
KYNU,8942,ENSG00000115919,KYNU,8942,ENSG00000115919,KYNU,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,8942,H,
L3MBTL4,91133,ENSG00000154655,L3MBTL4,91133,ENSG00000154655,L3MBTL4,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,91133,H,
LAMP2,3920,ENSG00000005893,LAMP2,3920,ENSG00000005893,LAMP2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3920,H,
LAP3,51056,ENSG00000002549,LAP3,51056,ENSG00000002549,LAP3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,51056,H,
LCK,3932,ENSG00000182866,LCK,3932,ENSG00000182866,LCK,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3932,H,
LCP2,3937,ENSG00000043462,LCP2,3937,ENSG00000043462,LCP2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3937,H,
LGALS3,3958,ENSG00000131981,LGALS3,3958,ENSG00000131981,LGALS3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3958,H,
LGMN,5641,ENSG00000100600,LGMN,5641,ENSG00000100600,LGMN,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5641,H,
LIPA,3988,ENSG00000107798,LIPA,3988,ENSG00000107798,LIPA,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,3988,H,
LRP1,4035,ENSG00000123384,LRP1,4035,ENSG00000123384,LRP1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4035,H,
LTA4H,4048,ENSG00000111144,LTA4H,4048,ENSG00000111144,LTA4H,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4048,H,
LTF,4057,ENSG00000012223,LTF,4057,ENSG00000012223,LTF,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4057,H,
LYN,4067,ENSG00000254087,LYN,4067,ENSG00000254087,LYN,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4067,H,
MAFF,23764,ENSG00000185022,MAFF,23764,ENSG00000185022,MAFF,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,23764,H,
ME1,4199,ENSG00000065833,ME1,4199,ENSG00000065833,ME1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4199,H,
MMP12,4321,ENSG00000262406,MMP12,4321,ENSG00000262406,MMP12,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4321,H,
MMP13,4322,ENSG00000137745,MMP13,4322,ENSG00000137745,MMP13,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4322,H,
MMP14,4323,ENSG00000157227,MMP14,4323,ENSG00000157227,MMP14,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4323,H,
MMP15,4324,ENSG00000102996,MMP15,4324,ENSG00000102996,MMP15,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4324,H,
MMP8,4317,ENSG00000118113,MMP8,4317,ENSG00000118113,MMP8,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4317,H,
MSRB1,51734,ENSG00000198736,MSRB1,51734,ENSG00000198736,SEPX1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,51734,H,
MT3,4504,ENSG00000087250,MT3,4504,ENSG00000087250,MT3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4504,H,
NOTCH4,4855,ENSG00000204301,NOTCH4,4855,ENSG00000204301,NOTCH4,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4855,H,
OLR1,4973,ENSG00000173391,OLR1,4973,ENSG00000173391,OLR1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,4973,H,
PCLO,27445,ENSG00000186472,PCLO,27445,ENSG00000186472,PCLO,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,27445,H,
PCSK9,255738,ENSG00000169174,PCSK9,255738,ENSG00000169174,PCSK9,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,255738,H,
PDGFB,5155,ENSG00000100311,PDGFB,5155,ENSG00000100311,PDGFB,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5155,H,
PDP1,54704,ENSG00000164951,PDP1,54704,ENSG00000164951,PDP1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,54704,H,
PFN1,5216,ENSG00000108518,PFN1,5216,ENSG00000108518,PFN1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5216,H,
PHEX,5251,ENSG00000102174,PHEX,5251,ENSG00000102174,PHEX,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5251,H,
PIK3CA,5290,ENSG00000121879,PIK3CA,5290,ENSG00000121879,PIK3CA,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5290,H,
PIK3CG,5294,ENSG00000105851,PIK3CG,5294,ENSG00000105851,PIK3CG,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5294,H,
PIK3R5,23533,ENSG00000141506,PIK3R5,23533,ENSG00000141506,PIK3R5,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,23533,H,
PIM1,5292,ENSG00000137193,PIM1,5292,ENSG00000137193,PIM1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5292,H,
PLA2G4A,5321,ENSG00000116711,PLA2G4A,5321,ENSG00000116711,PLA2G4A,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5321,H,
PLA2G7,7941,ENSG00000146070,PLA2G7,7941,ENSG00000146070,PLA2G7,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,7941,H,
PLAT,5327,ENSG00000104368,PLAT,5327,ENSG00000104368,PLAT,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5327,H,
PLAUR,5329,ENSG00000011422,PLAUR,5329,ENSG00000011422,PLAUR,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5329,H,
PLEK,5341,ENSG00000115956,PLEK,5341,ENSG00000115956,PLEK,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5341,H,
PLG,5340,ENSG00000122194,PLG,5340,ENSG00000122194,PLG,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5340,H,
PLSCR1,5359,ENSG00000188313,PLSCR1,5359,ENSG00000188313,PLSCR1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5359,H,
PPP2CB,5516,ENSG00000104695,PPP2CB,5516,ENSG00000104695,PPP2CB,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5516,H,
PPP4C,5531,ENSG00000149923,PPP4C,5531,ENSG00000149923,PPP4C,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5531,H,
PRCP,5547,ENSG00000137509,PRCP,5547,ENSG00000137509,PRCP,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5547,H,
PRDM4,11108,ENSG00000110851,PRDM4,11108,ENSG00000110851,PRDM4,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,11108,H,
PREP,5550,ENSG00000085377,PREP,5550,ENSG00000085377,PREP,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5550,H,
PRKCD,5580,ENSG00000163932,PRKCD,5580,ENSG00000163932,PRKCD,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5580,H,
PRSS3,5646,ENSG00000010438,PRSS3,5646,ENSG00000010438,PRSS3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5646,H,
PRSS36,146547,ENSG00000178226,PRSS36,146547,ENSG00000178226,PRSS36,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,146547,H,
PSEN1,5663,ENSG00000080815,PSEN1,5663,ENSG00000080815,PSEN1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5663,H,
PSMB9,5698,ENSG00000240065,PSMB9,5698,ENSG00000240065,PSMB9,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5698,H,
RABIF,5877,ENSG00000183155,RABIF,5877,ENSG00000183155,RABIF,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5877,H,
RAF1,5894,ENSG00000132155,RAF1,5894,ENSG00000132155,RAF1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5894,H,
RASGRP1,10125,ENSG00000172575,RASGRP1,10125,ENSG00000172575,RASGRP1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,10125,H,
RBSN,64145,ENSG00000131381,RBSN,64145,ENSG00000131381,ZFYVE20,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,64145,H,
RCE1,9986,ENSG00000173653,RCE1,9986,ENSG00000173653,RCE1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,9986,H,
RHOG,391,ENSG00000177105,RHOG,391,ENSG00000177105,RHOG,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,391,H,
RNF4,6047,ENSG00000063978,RNF4,6047,ENSG00000063978,RNF4,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,6047,H,
S100A12,6283,ENSG00000163221,S100A12,6283,ENSG00000163221,S100A12,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,6283,H,
S100A13,6284,ENSG00000189171,S100A13,6284,ENSG00000189171,S100A13,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,6284,H,
S100A9,6280,ENSG00000163220,S100A9,6280,ENSG00000163220,S100A9,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,6280,H,
SCG3,29106,ENSG00000104112,SCG3,29106,ENSG00000104112,SCG3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,29106,H,
SERPINA1,5265,ENSG00000197249,SERPINA1,5265,ENSG00000197249,SERPINA1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5265,H,
SERPINB2,5055,ENSG00000197632,SERPINB2,5055,ENSG00000197632,SERPINB2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5055,H,
SERPINC1,462,ENSG00000117601,SERPINC1,462,ENSG00000117601,SERPINC1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,462,H,
SERPINE1,5054,ENSG00000106366,SERPINE1,5054,ENSG00000106366,SERPINE1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,5054,H,
SERPING1,710,ENSG00000149131,SERPING1,710,ENSG00000149131,SERPING1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,710,H,
SH2B3,10019,ENSG00000111252,SH2B3,10019,ENSG00000111252,SH2B3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,10019,H,
SIRT6,51548,ENSG00000077463,SIRT6,51548,ENSG00000077463,SIRT6,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,51548,H,
SPOCK2,9806,ENSG00000107742,SPOCK2,9806,ENSG00000107742,SPOCK2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,9806,H,
SRC,6714,ENSG00000197122,SRC,6714,ENSG00000197122,SRC,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,6714,H,
STX4,6810,ENSG00000103496,STX4,6810,ENSG00000103496,STX4,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,6810,H,
TFPI2,7980,ENSG00000105825,TFPI2,7980,ENSG00000105825,TFPI2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,7980,H,
TIMP1,7076,ENSG00000102265,TIMP1,7076,ENSG00000102265,TIMP1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,7076,H,
TIMP2,7077,ENSG00000035862,TIMP2,7077,ENSG00000035862,TIMP2,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,7077,H,
TMPRSS6,164656,ENSG00000187045,TMPRSS6,164656,ENSG00000187045,TMPRSS6,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,164656,H,
TNFAIP3,7128,ENSG00000118503,TNFAIP3,7128,ENSG00000118503,TNFAIP3,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,7128,H,
USP14,9097,ENSG00000101557,USP14,9097,ENSG00000101557,USP14,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,9097,H,
USP15,9958,ENSG00000135655,USP15,9958,ENSG00000135655,USP15,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,9958,H,
USP16,10600,ENSG00000156256,USP16,10600,ENSG00000156256,USP16,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,10600,H,
USP8,9101,ENSG00000138592,USP8,9101,ENSG00000138592,USP8,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,9101,H,
VCPIP1,80124,ENSG00000175073,VCPIP1,80124,ENSG00000175073,VCPIP1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,80124,H,
WAS,7454,ENSG00000015285,WAS,7454,ENSG00000015285,WAS,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,7454,H,
XPNPEP1,7511,ENSG00000108039,XPNPEP1,7511,ENSG00000108039,XPNPEP1,M5921,HALLMARK_COMPLEMENT,H,,Hallmark,Genes encoding components of the complement system, which is part of the innate immune system.,HS,26771021,,,,2025.1.Hs,HS,7511,H,
